,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration,Type,MarketPrice
96,SPXW250527C05805000,2025-05-23 20:14:57+00:00,5805.0,26.32,27.7,28.2,-35.05,-57.1126,925.0,8,0.13945867874145512,False,REGULAR,USD,2025-05-27,call,27.95
97,SPXW250527C05810000,2025-05-23 20:14:58+00:00,5810.0,23.9,25.1,25.6,-43.229996,-64.39744,1820.0,40,0.13831428100585938,False,REGULAR,USD,2025-05-27,call,25.35
98,SPXW250527C05815000,2025-05-23 20:14:19+00:00,5815.0,20.93,22.7,23.1,-34.27,-62.083332,1438.0,47,0.13697915031433108,False,REGULAR,USD,2025-05-27,call,22.9
99,SPXW250527C05820000,2025-05-23 20:14:52+00:00,5820.0,19.15,20.4,20.8,-52.089996,-73.11903,2642.0,69,0.13592630439758302,False,REGULAR,USD,2025-05-27,call,20.6
100,SPXW250527C05825000,2025-05-23 20:14:22+00:00,5825.0,16.8,18.2,18.7,-44.5,-72.5938,2719.0,293,0.13516337257385255,False,REGULAR,USD,2025-05-27,call,18.45
101,SPXW250527C05830000,2025-05-23 20:14:59+00:00,5830.0,15.2,16.2,16.7,-26.7,-63.72315,1683.0,50,0.13420207847595214,False,REGULAR,USD,2025-05-27,call,16.45
102,SPXW250527C05835000,2025-05-23 20:13:28+00:00,5835.0,13.0,14.4,14.8,-29.5,-69.411766,1294.0,80,0.1330195341491699,False,REGULAR,USD,2025-05-27,call,14.600000000000001
103,SPXW250527C05840000,2025-05-23 20:14:17+00:00,5840.0,11.7,12.8,13.1,-26.8,-69.61039,2869.0,289,0.13216505050659183,False,REGULAR,USD,2025-05-27,call,12.95
104,SPXW250527C05845000,2025-05-23 20:14:57+00:00,5845.0,10.4,11.2,11.6,-25.500002,-71.03064,1465.0,203,0.13167677413940432,False,REGULAR,USD,2025-05-27,call,11.399999999999999
105,SPXW250527C05850000,2025-05-23 20:14:56+00:00,5850.0,9.2,9.9,10.2,-23.969997,-72.26409,6213.0,334,0.13102065277099606,False,REGULAR,USD,2025-05-27,call,10.05
106,SPXW250527C05855000,2025-05-23 20:14:29+00:00,5855.0,7.97,8.6,9.0,-23.730001,-74.85805,1375.0,175,0.13086043708801268,False,REGULAR,USD,2025-05-27,call,8.8
107,SPXW250527C05860000,2025-05-23 20:14:43+00:00,5860.0,6.9,7.5,7.8,-22.25,-76.32933,1657.0,875,0.1299525482177734,False,REGULAR,USD,2025-05-27,call,7.65
108,SPXW250527C05865000,2025-05-23 20:14:25+00:00,5865.0,6.0,6.5,6.8,-20.07,-76.98504,1957.0,211,0.12963211685180664,False,REGULAR,USD,2025-05-27,call,6.65
109,SPXW250527C05870000,2025-05-23 20:14:54+00:00,5870.0,5.3,5.6,5.9,-18.380001,-77.61825,1937.0,217,0.12931168548583982,False,REGULAR,USD,2025-05-27,call,5.75
110,SPXW250527C05875000,2025-05-23 20:13:33+00:00,5875.0,4.4,4.9,5.1,-17.6,-80.0,2691.0,343,0.12900651275634767,False,REGULAR,USD,2025-05-27,call,5.0
111,SPXW250527C05880000,2025-05-23 20:14:15+00:00,5880.0,3.9,4.2,4.4,-15.9,-80.30303,2471.0,529,0.1288234091186523,False,REGULAR,USD,2025-05-27,call,4.300000000000001
112,SPXW250527C05885000,2025-05-23 20:14:25+00:00,5885.0,3.29,3.6,3.8,-14.2,-81.189255,2011.0,225,0.12885392639160154,False,REGULAR,USD,2025-05-27,call,3.7
113,SPXW250527C05890000,2025-05-23 20:14:51+00:00,5890.0,2.85,3.1,3.2,-12.91,-81.916245,1881.0,299,0.1281215118408203,False,REGULAR,USD,2025-05-27,call,3.1500000000000004
114,SPXW250527C05895000,2025-05-23 20:14:55+00:00,5895.0,2.45,2.65,2.75,-11.650001,-82.624115,1104.0,147,0.1282740982055664,False,REGULAR,USD,2025-05-27,call,2.7
115,SPXW250527C05900000,2025-05-23 20:14:59+00:00,5900.0,2.05,2.3,2.35,-10.65,-83.85826,6724.0,3895,0.1283351327514648,False,REGULAR,USD,2025-05-27,call,2.325
116,SPXW250527C05905000,2025-05-23 20:14:13+00:00,5905.0,1.71,1.95,2.0,-9.91,-85.284,3986.0,107,0.12839616729736325,False,REGULAR,USD,2025-05-27,call,1.975
117,SPXW250527C05910000,2025-05-23 20:14:23+00:00,5910.0,1.5,1.65,1.75,-8.39,-84.83316,1577.0,167,0.12934220275878905,False,REGULAR,USD,2025-05-27,call,1.7
118,SPXW250527C05915000,2025-05-23 20:14:17+00:00,5915.0,1.23,1.4,1.5,-7.56,-86.00683,2081.0,274,0.12973892730712888,False,REGULAR,USD,2025-05-27,call,1.45
119,SPXW250527C05920000,2025-05-23 20:15:00+00:00,5920.0,0.95,1.2,1.25,-7.03,-88.095245,2145.0,228,0.12949478912353518,False,REGULAR,USD,2025-05-27,call,1.225
120,SPXW250527C05925000,2025-05-23 20:14:30+00:00,5925.0,0.85,1.0,1.1,-6.0,-87.59124,2789.0,385,0.13068496276855468,False,REGULAR,USD,2025-05-27,call,1.05
121,SPXW250527C05930000,2025-05-23 20:13:39+00:00,5930.0,0.72,0.85,0.95,-5.33,-88.09917,1842.0,276,0.13141737731933595,False,REGULAR,USD,2025-05-27,call,0.8999999999999999
122,SPXW250527C05935000,2025-05-23 20:14:30+00:00,5935.0,0.65,0.75,0.8,-4.95,-88.39285,1786.0,263,0.13160048095703125,False,REGULAR,USD,2025-05-27,call,0.775
123,SPXW250527C05940000,2025-05-23 20:11:25+00:00,5940.0,0.5,0.65,0.7,-3.9699998,-88.814316,925.0,583,0.13269910278320313,False,REGULAR,USD,2025-05-27,call,0.675
124,SPXW250527C05945000,2025-05-23 20:14:27+00:00,5945.0,0.53,0.55,0.6,-3.47,-86.75,590.0,199,0.13337048278808594,False,REGULAR,USD,2025-05-27,call,0.575
125,SPXW250527C05950000,2025-05-23 20:14:56+00:00,5950.0,0.45,0.45,0.5,-3.05,-87.14285,2084.0,1158,0.1334925518798828,False,REGULAR,USD,2025-05-27,call,0.475
126,SPXW250527C05955000,2025-05-23 20:10:54+00:00,5955.0,0.35,0.4,0.45,-2.52,-87.804886,398.0,214,0.13514048461914066,False,REGULAR,USD,2025-05-27,call,0.42500000000000004
127,SPXW250527C05960000,2025-05-23 20:12:53+00:00,5960.0,0.3,0.35,0.4,-2.2,-88.0,1036.0,712,0.13660531372070314,False,REGULAR,USD,2025-05-27,call,0.375
128,SPXW250527C05965000,2025-05-23 20:12:57+00:00,5965.0,0.3,0.3,0.35,-1.9000001,-86.36364,886.0,313,0.13770393554687502,False,REGULAR,USD,2025-05-27,call,0.32499999999999996
129,SPXW250527C05970000,2025-05-23 20:14:27+00:00,5970.0,0.24,0.25,0.35,-1.66,-87.36842,897.0,423,0.1412439392089844,False,REGULAR,USD,2025-05-27,call,0.3
130,SPXW250527C05975000,2025-05-23 20:08:58+00:00,5975.0,0.22,0.2,0.3,-1.35,-85.98726,360.0,328,0.14185428466796873,False,REGULAR,USD,2025-05-27,call,0.25
131,SPXW250527C05980000,2025-05-23 20:13:02+00:00,5980.0,0.2,0.2,0.25,-1.17,-85.40146,747.0,286,0.1420984228515625,False,REGULAR,USD,2025-05-27,call,0.225
132,SPXW250527C05985000,2025-05-23 20:11:58+00:00,5985.0,0.15,0.15,0.25,-0.79999995,-84.21052,351.0,216,0.145516357421875,False,REGULAR,USD,2025-05-27,call,0.2
133,SPXW250527C05990000,2025-05-23 20:12:34+00:00,5990.0,0.15,0.15,0.25,-0.79999995,-84.21052,690.0,190,0.1489342919921875,False,REGULAR,USD,2025-05-27,call,0.2
134,SPXW250527C05995000,2025-05-23 20:14:48+00:00,5995.0,0.15,0.15,0.2,-0.65,-81.24999,472.0,243,0.14820187744140628,False,REGULAR,USD,2025-05-27,call,0.175
135,SPXW250527C06000000,2025-05-23 20:12:39+00:00,6000.0,0.1,0.1,0.15,-0.65,-86.666664,1191.0,1978,0.14649291015625,False,REGULAR,USD,2025-05-27,call,0.125
136,SPXW250527C06005000,2025-05-23 20:12:18+00:00,6005.0,0.1,0.1,0.15,-0.5,-83.33333,424.0,493,0.14978877563476564,False,REGULAR,USD,2025-05-27,call,0.125
137,SPXW250527C06010000,2025-05-23 20:09:17+00:00,6010.0,0.1,0.1,0.15,-0.42,-80.769226,387.0,319,0.1530846411132813,False,REGULAR,USD,2025-05-27,call,0.125
138,SPXW250527C06015000,2025-05-23 20:11:34+00:00,6015.0,0.1,0.1,0.2,-0.3,-75.0,432.0,333,0.16138533935546873,False,REGULAR,USD,2025-05-27,call,0.15000000000000002
139,SPXW250527C06020000,2025-05-23 20:13:59+00:00,6020.0,0.1,0.05,0.2,-0.3,-75.0,741.0,940,0.16480327392578126,False,REGULAR,USD,2025-05-27,call,0.125
